device,vgs,vds,vbs,id,gm,gds,gmb,vth,vdsat,cgg,cgs,cgd,cdb,csb
M1,0.2,0.05,-0.3,2.28272E-12,7.26448E-11,1.72989E-11,8.12343E-12,0.754786,0.0457713,2.028E-16,-3.00105E-17,-2.76227E-18,-1.66E-18,-2.24082E-18
M2,0.2,0.05,-0.3,1.48676E-13,4.77711E-12,9.32106E-13,1.05929E-12,0.787872,0.0450299,3.93847E-16,-2.14907E-18,-9.66636E-20,-1.79414E-19,-2.45654E-19
M1,0.2,0.05,0.0,8.16756E-12,2.53246E-10,6.81934E-11,4.18189E-11,0.722196,0.0446634,2.4178E-16,-4.36511E-17,-2.92433E-18,-3.51532E-18,-4.73043E-18
M2,0.2,0.05,0.0,1.54548E-12,4.83351E-11,9.34584E-12,1.32532E-11,0.723986,0.0436791,4.52433E-16,-5.98735E-18,-2.953E-19,-6.62875E-19,-9.06629E-19
M1,0.2,0.05,0.3,4.86614E-11,1.44178E-09,5.09619E-10,3.38129E-10,0.675414,0.0430738,3.10257E-16,-7.20227E-17,-8.81441E-19,-8.20964E-18,-1.09357E-17
M2,0.2,0.05,0.3,2.75885E-11,8.22903E-10,1.57776E-10,2.98586E-10,0.64289,0.0416166,5.51259E-16,-2.05641E-17,-1.13952E-18,-3.31257E-18,-4.51726E-18
M1,0.2,0.2,-0.3,3.42785E-12,1.09087E-10,5.74846E-12,1.21658E-11,0.754785,0.0457713,2.0183E-16,-3.15803E-17,-1.09178E-19,-1.47227E-18,-2.17749E-18
M2,0.2,0.2,-0.3,1.82869E-13,5.87573E-12,9.40496E-14,1.29945E-12,0.787399,0.0450295,3.93804E-16,-2.19277E-18,7.41266E-22,-1.62933E-19,-2.41351E-19
M1,0.2,0.2,0.0,1.40388E-11,4.35172E-10,3.64563E-11,8.89508E-11,0.71781,0.044656,2.41982E-16,-4.92997E-17,9.97193E-19,-3.99355E-18,-5.90705E-18
M2,0.2,0.2,0.0,1.88897E-12,5.90771E-11,9.43805E-13,1.6154E-11,0.723567,0.0436788,4.52302E-16,-6.111E-18,-5.69365E-22,-6.00593E-19,-8.8952E-19
